Name,Type,File,Dependencies,Used In Recipes,Recipe Outputs,Hardness,Resistance,Tool,Creative Tabs,Has GUI,Recipe Type,Inputs,Output,Output Count,Durability,Enchantability,Repair Items,Health,Attack,Spawn Biomes,Drops
iron_hammer_recipe,recipe,IronHammerRecipe.mod,"Iron Ingot, Iron Ingot, Iron Ingot, Iron Ingot, Stick, Iron Ingot, Stick",,,,,,,,Crafting,Iron Ingot + Iron Ingot + Iron Ingot + Iron Ingot + Stick + Iron Ingot + Stick,IronHammer,1.0,,,,,,,
jewlery_workbench_recipe,recipe,JewleryWorkbenchRecipe.mod,"SteelIngot, SteelIngot, SteelIngot, Planks, Planks, Planks, Planks",,,,,,,,Crafting,SteelIngot + SteelIngot + SteelIngot + Planks + Planks + Planks + Planks,JewleryWorkbench,1.0,,,,,,,
lavaleer_recipe,recipe,LavaleerRecipe.mod,"Cobbled Deepslate, Cobbled Deepslate, Lava Bucket, Cobbled Deepslate, Smooth Stone, MachineFrame, Smooth Stone",,,,,,,,Crafting,Cobbled Deepslate + Cobbled Deepslate + Lava Bucket + Cobbled Deepslate + Smooth Stone + MachineFrame + Smooth Stone,Lavaleer,1.0,,,,,,,
lead_ingot_recipe,recipe,LeadIngotRecipe.mod,,,,,,,,,Smelting,,,1.0,,,,,,,
machine_frame_recipe,recipe,MachineFrameRecipe.mod,"AluminumIngot, AluminumIngot, SteelFrame, AluminumIngot, AluminumIngot",,,,,,,,Crafting,AluminumIngot + AluminumIngot + SteelFrame + AluminumIngot + AluminumIngot,MachineFrame,1.0,,,,,,,
mercury_ingot_recipe,recipe,MercuryIngotRecipe.mod,,,,,,,,,Smelting,,,1.0,,,,,,,
packed_sand_brick_stairs_recipe,recipe,PackedSandBrickStairsRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
packed_sand_bricks_recipe,recipe,PackedSandBricksRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
packed_sand_recipe,recipe,PackedSandRecipe.mod,"Sand#0, Sand#0, Sand#0, Sand#0, Sand#0, Sand#0, Sand#0, Sand#0, Sand#0",,,,,,,,Crafting,Sand#0 + Sand#0 + Sand#0 + Sand#0 + Sand#0 + Sand#0 + Sand#0 + Sand#0 + Sand#0,PackedSand,1.0,,,,,,,
packed_sand_stairs_recipe,recipe,PackedSandStairsRecipe.mod,,,,,,,,,Stone cutting,,,1.0,,,,,,,
palo_button_recipe,recipe,PaloButtonRecipe.mod,PaloPlanks,,,,,,,,Crafting,PaloPlanks,PaloButton,1.0,,,,,,,
palo_fence_gate_recipe,recipe,PaloFenceGateRecipe.mod,"Stick, PaloPlanks, Stick, Stick, PaloPlanks, Stick",,,,,,,,Crafting,Stick + PaloPlanks + Stick + Stick + PaloPlanks + Stick,PaloFenceGate,1.0,,,,,,,
palo_fence_recipe,recipe,PaloFenceRecipe.mod,"PaloPlanks, Stick, PaloPlanks, PaloPlanks, Stick, PaloPlanks",,,,,,,,Crafting,PaloPlanks + Stick + PaloPlanks + PaloPlanks + Stick + PaloPlanks,PaloFence,3.0,,,,,,,
palo_planks_recipe,recipe,PaloPlanksRecipe.mod,palo_logs,,,,,,,,Crafting,palo_logs,PaloPlanks,4.0,,,,,,,
palo_pressure_plate_recipe,recipe,PaloPressurePlateRecipe.mod,"PaloPlanks, PaloPlanks",,,,,,,,Crafting,PaloPlanks + PaloPlanks,PaloPressurePlate,1.0,,,,,,,
palo_slab_recipe,recipe,PaloSlabRecipe.mod,"PaloPlanks, PaloPlanks, PaloPlanks",,,,,,,,Crafting,PaloPlanks + PaloPlanks + PaloPlanks,PaloSlab,6.0,,,,,,,
palo_stairs_recipe,recipe,PaloStairsRecipe.mod,"PaloPlanks, PaloPlanks, PaloPlanks, PaloPlanks, PaloPlanks, PaloPlanks",,,,,,,,Crafting,PaloPlanks + PaloPlanks + PaloPlanks + PaloPlanks + PaloPlanks + PaloPlanks,PaloStairs,4.0,,,,,,,
palo_wood_recipe,recipe,PaloWoodRecipe.mod,"PaloLog, PaloLog, PaloLog, PaloLog",,,,,,,,Crafting,PaloLog + PaloLog + PaloLog + PaloLog,PaloWood,3.0,,,,,,,
pressure_cooker_recipe,recipe,PressureCookerRecipe.mod,"Smooth Stone, AluminumIngot, Smooth Stone, AluminumIngot, Smoker, AluminumIngot, Smooth Stone, MachineFrame, Smooth Stone",,,,,,,,Crafting,Smooth Stone + AluminumIngot + Smooth Stone + AluminumIngot + Smoker + AluminumIngot + Smooth Stone + MachineFrame + Smooth Stone,PressureCooker,1.0,,,,,,,
propane_tank_recipe,recipe,PropaneTankRecipe.mod,"AluminumIngot, AluminumIngot",,,,,,,,Crafting,AluminumIngot + AluminumIngot,EmptyPropaneTank,1.0,,,,,,,
refinery_recipe,recipe,RefineryRecipe.mod,"TitaniumIngot, TitaniumIngot, SteelIngot, CrudeOil.bucket, SteelIngot, MachineFrame, Campfire, MachineFrame",,,,,,,,Crafting,TitaniumIngot + TitaniumIngot + SteelIngot + CrudeOil.bucket + SteelIngot + MachineFrame + Campfire + MachineFrame,Refinery,1.0,,,,,,,
reinforced_chest_recipe,recipe,ReinforcedChestRecipe.mod,"TitaniumIngot, TitaniumIngot, SteelIngot, Chest, SteelIngot, SteelIngot, SteelFrame, SteelIngot",,,,,,,,Crafting,TitaniumIngot + TitaniumIngot + SteelIngot + Chest + SteelIngot + SteelIngot + SteelFrame + SteelIngot,ReinforcedChest,1.0,,,,,,,
silicon_ingot_recipe,recipe,SiliconIngotRecipe.mod,,,,,,,,,Blasting,,,1.0,,,,,,,
silicon_sheets_recipe,recipe,SiliconSheetsRecipe.mod,"SiliconIngot, SiliconIngot, SiliconIngot",,,,,,,,Crafting,SiliconIngot + SiliconIngot + SiliconIngot,SiliconSheets,1.0,,,,,,,
sky_catalyst_recipe,recipe,SkyCatalystRecipe.mod,"Skyshard, Skyshard, Nether Star, Skyshard, Skyshard",,,,,,,,Crafting,Skyshard + Skyshard + Nether Star + Skyshard + Skyshard,SkylariamGem,1.0,,,,,,,
skylands_ignighter_recipe,recipe,SkylandsIgnighterRecipe.mod,"Flint And Steel, Nether Star",,,,,,,,Crafting,Flint And Steel + Nether Star,TheSkylands,1.0,,,,,,,
skywood_button_recipe,recipe,SkywoodButtonRecipe.mod,SkywoodPlanks,,,,,,,,Crafting,SkywoodPlanks,SkywoodButton,1.0,,,,,,,
skywood_door_recipe,recipe,SkywoodDoorRecipe.mod,"SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks",,,,,,,,Crafting,SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks,SkywoodDoor,3.0,,,,,,,
skywood_fence_gate_recipe,recipe,SkywoodFenceGateRecipe.mod,"Stick, SkywoodPlanks, Stick, Stick, SkywoodPlanks, Stick",,,,,,,,Crafting,Stick + SkywoodPlanks + Stick + Stick + SkywoodPlanks + Stick,SkywoodFenceGate,1.0,,,,,,,
skywood_fence_recipe,recipe,SkywoodFenceRecipe.mod,"SkywoodPlanks, Stick, SkywoodPlanks, SkywoodPlanks, Stick, SkywoodPlanks",,,,,,,,Crafting,SkywoodPlanks + Stick + SkywoodPlanks + SkywoodPlanks + Stick + SkywoodPlanks,SkywoodFence,3.0,,,,,,,
skywood_planks_recipe,recipe,SkywoodPlanksRecipe.mod,skywood_logs,,,,,,,,Crafting,skywood_logs,SkywoodPlanks,4.0,,,,,,,
skywood_pressure_plate_recipe,recipe,SkywoodPressurePlateRecipe.mod,"SkywoodPlanks, SkywoodPlanks",,,,,,,,Crafting,SkywoodPlanks + SkywoodPlanks,SkywoodPressurePlate,1.0,,,,,,,
skywood_slab_recipe,recipe,SkywoodSlabRecipe.mod,"SkywoodPlanks, SkywoodPlanks, SkywoodPlanks",,,,,,,,Crafting,SkywoodPlanks + SkywoodPlanks + SkywoodPlanks,SkywoodSlab,6.0,,,,,,,
skywood_stairs_recipe,recipe,SkywoodStairsRecipe.mod,"SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks",,,,,,,,Crafting,SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks,SkywoodStairs,4.0,,,,,,,
skywood_trapdoor_recipe,recipe,SkywoodTrapdoorRecipe.mod,"SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks, SkywoodPlanks",,,,,,,,Crafting,SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks + SkywoodPlanks,SkywoodTrapdoor,2.0,,,,,,,
skywood_wood_recipe,recipe,SkywoodWoodRecipe.mod,"SkywoodLog, SkywoodLog, SkywoodLog, SkywoodLog",,,,,,,,Crafting,SkywoodLog + SkywoodLog + SkywoodLog + SkywoodLog,SkywoodWood,3.0,,,,,,,
steel_beams_recipe,recipe,SteelBeamsRecipe.mod,"SteelIngot, SteelIngot",,,,,,,,Crafting,SteelIngot + SteelIngot,SteelBeams,4.0,,,,,,,
steel_face_plate_recipe,recipe,SteelFacePlateRecipe.mod,"SteelBeams, SteelBeams, SteelBeams, SteelBeams, SteelBeams, SteelBeams, SteelBeams, SteelBeams",,,,,,,,Crafting,SteelBeams + SteelBeams + SteelBeams + SteelBeams + SteelBeams + SteelBeams + SteelBeams + SteelBeams,SteelFacePlate,1.0,,,,,,,
steel_frame_recipe,recipe,SteelFrameRecipe.mod,"SteelBeams, SteelBeams, SteelFacePlate, SteelBeams, SteelBeams",,,,,,,,Crafting,SteelBeams + SteelBeams + SteelFacePlate + SteelBeams + SteelBeams,SteelFrame,1.0,,,,,,,
steel_hammer_recipe,recipe,SteelHammerRecipe.mod,"SteelIngot, SteelIngot, SteelIngot, SteelIngot, Stick, SteelIngot, Stick",,,,,,,,Crafting,SteelIngot + SteelIngot + SteelIngot + SteelIngot + Stick + SteelIngot + Stick,SteelHammer,1.0,,,,,,,
steel_ingot_recipe,recipe,SteelIngotRecipe.mod,,,,,,,,,Blasting,,,1.0,,,,,,,
stripped_skywood_wood_recipe,recipe,StrippedSkywoodWoodRecipe.mod,"StrippedSkywoodLog, StrippedSkywoodLog, StrippedSkywoodLog, StrippedSkywoodLog",,,,,,,,Crafting,StrippedSkywoodLog + StrippedSkywoodLog + StrippedSkywoodLog + StrippedSkywoodLog,StrippedSkywoodWood,3.0,,,,,,,
tin_ingot_recipe,recipe,TinIngotRecipe.mod,,,,,,,,,Smelting,,,1.0,,,,,,,
titanium_boots_recipe,recipe,TitaniumBootsRecipe.mod,"TitaniumIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot",,,,,,,,Crafting,TitaniumIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot,TitaniumArmour.boots,1.0,,,,,,,
titanium_chestplate_recipe,recipe,TitaniumChestplateRecipe.mod,"TitaniumIngot, TitaniumIngot, TitaniumIngot, SteelIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot",,,,,,,,Crafting,TitaniumIngot + TitaniumIngot + TitaniumIngot + SteelIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot,TitaniumArmour.body,1.0,,,,,,,
titanium_helmet_recipe,recipe,TitaniumHelmetRecipe.mod,"TitaniumIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot",,,,,,,,Crafting,TitaniumIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot,TitaniumArmour.helmet,1.0,,,,,,,
titanium_ingot_recipe,recipe,TitaniumIngotRecipe.mod,,,,,,,,,Smelting,,,1.0,,,,,,,
titanium_leggings_recipe,recipe,TitaniumLeggingsRecipe.mod,"TitaniumIngot, SteelIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot, TitaniumIngot",,,,,,,,Crafting,TitaniumIngot + SteelIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot + TitaniumIngot,TitaniumArmour.legs,1.0,,,,,,,
titanium_sword_recipe,recipe,TitaniumSwordRecipe.mod,"TitaniumIngot, TitaniumIngot, Stick",,,,,,,,Crafting,TitaniumIngot + TitaniumIngot + Stick,TitaniumSword,1.0,,,,,,,
SkyShrineDamaged.mod,structure,SkyShrineDamaged.mod,,,,,,,,,,,,,,,,,,,
SkyShrinePristine.mod,structure,SkyShrinePristine.mod,,,,,,,,,,,,,,,,,,,
SkyShrineWreaked.mod,structure,SkyShrineWreaked.mod,,,,,,,,,,,,,,,,,,,
The Great Expansion,tab,TheGreatExpansion.mod,,,,,,,,,,,,,,,,,,,
Aqualith Axe,tool,AqualithAxe.mod,Aqualith,,,,,,,,,,,,,,,,,,
Aqualith Hoe,tool,AqualithHoe.mod,Aqualith,,,,,,,,,,,,,,,,,,
Aqualith Pickaxe,tool,AqualithPickaxe.mod,Aqualith,,,,,,,,,,,,,,,,,,
Aqualith Shovel,tool,AqualithShovel.mod,Aqualith,,,,,,,,,,,,,,,,,,
Aqualith Sword,tool,AqualithSword.mod,Aqualith,,,,,,,,,,,,,,,,,,
Diamond Hammer,tool,DiamondHammer.mod,Diamond,,,,,,,,,,,,,,,,,,
Iron Hammer,tool,IronHammer.mod,Iron Ingot,,,,,,,,,,,,,,,,,,
Steel Hammer,tool,SteelHammer.mod,,,,,,,,,,,,,,,,,,,
Titanium Axe,tool,TitaniumAxe.mod,,,,,,,,,,,,,,,,,,,
Titanium Sword,tool,TitaniumSword.mod,TitaniumIngot,,,,,,,,,,,,,,,,,,
Eskimo.mod,villagerprofession,Eskimo.mod,,,,,,,,,,,,,,,,,,,
EskimoTrades.mod,villagertrade,EskimoTrades.mod,,,,,,,,,,,,,,,,,,,
